,child,itemId,Lemma,Singular IPA,Singular Code,Plural IPA,Plural Code,Parent Used Plural,Comments
621,pl57,7,pig,pig,singular,pig,singular,,
623,pl57,8,truck,truck,singular,trucks,plural,,
625,pl57,9,gub,gub,singular,gub,singular,,
627,pl57,10,fork,fork,singular,forks,plural,,
629,pl57,11,cup,cup,singular,cup,singular,,
631,pl57,12,gop,gop,singular,gop,singular,,
633,pl57,13,tig,tig,singular,tig,singular,,
635,pl57,14,cow,cow,singular,cows,plural,plural after - feedback,
637,pl57,15,nep,nep,singular,nep,singular,,
639,pl57,16,cat,cat,singular,cat,singular,,
641,pl45,p1,book,<skipped>,No Data,,,,
643,pl45,p2,chair,<skipped>,No Data,,,,
645,pl45,p3,coat,coat,singular,,,,
647,pl45,p4,dog,<inaudible>,no response / non-relevant,,,,
649,pl45,1,pog,pog,singular,pog,singular,,
651,pl45,2,rabbit,rabbit,singular,rabbit,singular,,
653,pl45,3,nug,nug,singular,nug,singular,,
655,pl45,4,star,star,singular,<overlap> ,No Data,,
657,pl45,5,tep,tep,singular,tep,singular,,
659,pl45,6,fip,fip,singular,<babble>,no response / non-relevant,,
661,pl45,7,pig,pig,singular,<skipped>,No Data,,
663,pl45,8,truck,truck,singular,<skipped>,No Data,,
665,pl45,9,gub,gub,singular,<skipped>,No Data,,
667,pl45,10,fork,fork,singular,<skipped>,No Data,,
669,pl45,11,cup,cup,singular,<skipped>,No Data,,
671,pl45,12,gop,gop,singular,<skipped>,No Data,,
673,pl45,13,tig,tig,singular,<skipped>,No Data,,
675,pl45,14,cow,cow,singular,<skipped>,No Data,,
677,pl45,15,nep,nep,singular,<skipped>,No Data,,
679,pl45,16,cat,cat,singular,cat,singular,,
681,pl33,p1,book,book,singular,,,,
683,pl33,p2,chair,chair,singular,,,,
685,pl33,p3,coat,coat,singular,,,,
687,pl33,p4,dog,<silence>,no response / non-relevant,,,,
689,pl33,1,pog,pog,singular,<silence>,no response / non-relevant,,
691,pl33,2,rabbit,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
693,pl33,3,nug,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
695,pl33,4,star,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
697,pl33,5,tep,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
699,pl33,6,fip,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
701,pl33,7,pig,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
703,pl33,8,truck,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
705,pl33,9,gub,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
707,pl33,10,fork,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
709,pl33,11,cup,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
711,pl33,12,gop,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
713,pl33,13,tig,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
715,pl33,14,cow,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
717,pl33,15,nep,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
719,pl33,16,cat,<silence>,no response / non-relevant,<silence>,no response / non-relevant,,
721,pl14,p1,book,book,singular,,,,
723,pl14,p2,chair,chair,singular,,,,
725,pl14,p3,coat,coat,singular,,,,
727,pl14,p4,dog,dog,singular,,,,
729,pl14,1,bug,bug,singular,more bugs,plural,,
731,pl14,2,mip,mip,singular,mips,plural,,
733,pl14,3,deg,deg,singular,deg,singular,,
735,pl14,4,frog,frog,singular,frog,singular,,
737,pl14,5,nop,nop,singular,nop,singular,,
739,pl14,6,boat,boat,singular,boats,plural,,
741,pl14,7,kib,kib,singular,kibs,plural,,
743,pl14,8,teb,teb,singular,tebs,plural,,
745,pl14,9,plate,no,no response / non-relevant,plates,plural,,
747,pl14,10,ant,ant,singular,ants,plural,,
749,pl14,11,pib,pib,singular,pip,singular,,"part of statement ""I cant say pip"", not be responding to the prompt"
751,pl14,12,dup,dup,singular,dups,plural,,
753,pl14,13,duck,duck,singular,duck,singular,,
755,pl14,14,spoon,soons,plural,soons,plural,,
757,pl14,15,gip,gip,singular,gips,plural,,
